Date,MSFT
2023-04-28,301.89544677734375
2023-05-01,300.22509765625
2023-05-02,300.0777587890625
2023-05-03,299.0853576660156
2023-05-04,300.0777587890625
2023-05-05,305.22625732421875
2023-05-08,303.2611083984375
2023-05-09,301.6399841308594
2023-05-10,306.8572998046875
2023-05-11,304.69561767578125
2023-05-12,303.5755920410156
2023-05-15,304.0570068359375
2023-05-16,306.2972106933594
2023-05-17,309.1921691894531
2023-05-18,313.6429443359375
2023-05-19,313.4656982421875
2023-05-22,316.26226806640625
2023-05-23,310.43292236328125
2023-05-24,309.04449462890625
2023-05-25,320.9296875
2023-05-26,327.7929382324219
2023-05-30,326.1386413574219
2023-05-31,323.36187744140625
2023-06-01,327.4876708984375
2023-06-02,330.2645263671875
2023-06-05,330.7962341308594
2023-06-06,328.57086181640625
